,HDD,CDD
2020-12-26,30.35,0.48
2020-12-27,28.54,0.42
2020-12-28,27.43,0.76
2020-12-29,30.57,0.49
2020-12-30,33.37,0.52
2020-12-31,38.91,0.44
2021-01-01,43.49,0.31
2021-01-02,45.19,0.06
2021-01-03,40.36,0.1
2021-01-04,33.46,0.41
2021-01-05,30.35,0.36
2021-01-06,30.02,0.14
2021-01-07,29.76,0.02
2021-01-08,27.7,0.07
